Season,Train,N_Bets,Hit_Rate,Yield_Flat,Yield_Kelly,Flat_PnL,Kelly_PnL
2015,"[2010, 2011, 2012, 2013, 2014]",99,0.41414141414141414,-0.04303030303030305,-0.10385924356257623,-42.60000000000002,-80.86999999999998
2016,"[2010, 2011, 2012, 2013, 2014, 2015]",93,0.46236559139784944,0.2532258064516129,0.2394331142116744,235.5,163.53999999999996
2017,"[2010, 2011, 2012, 2013, 2014, 2015, 2016]",107,0.40186915887850466,0.004018691588785039,0.05460205371413052,4.299999999999992,52.27
2018,"[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]",99,0.35353535353535354,-0.09787878787878786,-0.14164415283674256,-96.89999999999998,-121.11
2019,"[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]",101,0.32673267326732675,-0.1374257425742574,-0.06831582412977757,-138.79999999999998,-45.64999999999998
2020,"[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",111,0.3153153153153153,-0.15099099099099103,-0.02483276825804093,-167.60000000000005,-18.97000000000005
2021,"[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",104,0.40384615384615385,0.13326923076923078,0.2974331907328185,138.60000000000002,214.14000000000001
2022,"[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",98,0.45918367346938777,0.11163265306122452,0.1826907301066448,109.40000000000003,133.62
2023,"[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]",98,0.35714285714285715,-0.16744897959183672,-0.19311446164470278,-164.1,-134.23000000000002
2024,"[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023]",90,0.26666666666666666,-0.3393333333333333,-0.19621405169275574,-305.4,-102.41
2025,"[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]",27,0.18518518518518517,-0.6270370370370371,-0.6128940236770789,-169.3,-85.94
