Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,Season,Home_Points,Away_Points,Goal_Diff,Home_Possession_Est,Away_Possession_Est,Home_Market_Wisdom,Away_Market_Wisdom,Home_xG_Avg_L5,Home_Streak_L5,Home_Pressure_Avg_L5,Home_Goal_Diff_L5,Home_Rest_Days,Home_Field_Tilt_L5,Home_Dominance_Avg_L5,Home_PDO_L5,Home_PPDA_Proxy_L5,Away_xG_Avg_L5,Away_Streak_L5,Away_Pressure_Avg_L5,Away_Goal_Diff_L5,Away_Rest_Days,Away_Field_Tilt_L5,Away_Dominance_Avg_L5,Away_PDO_L5,Away_PPDA_Proxy_L5,Home_H2H_L3,Away_H2H_L3,Home_FIFA_Ova,Home_FIFA_Att,Home_FIFA_Mid,Home_FIFA_Def,Home_Market_Value,Away_FIFA_Ova,Away_FIFA_Att,Away_FIFA_Mid,Away_FIFA_Def,Away_Market_Value,Diff_FIFA_Ova,Diff_FIFA_Att,Diff_FIFA_Mid,Diff_FIFA_Def,Log_Value_Diff,Home_Elo,Away_Elo,Home_Att_Strength,Away_Att_Strength,Home_Def_Weakness,Away_Def_Weakness
,2010-09-11,Real Madrid,CA Osasuna,,,H,,,,,,,,,,,,,1.17,6.5,17.0,2010.0,3,0,,0.5,0.5,0.8547008547008548,0.058823529411764705,0.0,1.0,0.0,0.0,13.0,0.5,0.5,1.0,10.0,0.0,1.0,0.0,0.0,13.0,0.5,0.5,1.0,10.0,1.5,1.5,83,71,80,72,519.0,75,75,75,75,60.0,8,-4,5,-3,2.1429549474021616,1500.0,1500.0,1.0,1.0,1.0,1.0
,2010-09-11,Valencia CF,Santander,,,H,,,,,,,,,,,,,1.44,4.33,7.0,2010.0,3,0,,0.5,0.5,0.6944444444444444,0.14285714285714285,0.0,3.0,0.0,0.0,14.0,0.5,0.5,1.0,10.0,0.0,0.0,0.0,0.0,13.0,0.5,0.5,1.0,10.0,1.5,1.5,80,73,76,75,176.6,75,73,70,67,65.5,5,0,6,8,0.9823318828962613,1500.0,1500.0,1.0,1.0,1.0,1.0
,2010-09-11,FC Barcelona,Hercules,,,A,,,,,,,,,,,,,1.06,11.0,34.0,2010.0,0,3,,0.5,0.5,0.9433962264150942,0.029411764705882353,0.0,3.0,0.0,0.0,13.0,0.5,0.5,1.0,10.0,0.0,0.0,0.0,0.0,14.0,0.5,0.5,1.0,10.0,1.5,1.5,84,73,77,74,604.7,75,75,75,75,51.7,9,-2,2,-1,2.4417693584395854,1500.0,1500.0,1.0,1.0,1.0,1.0
,2010-09-11,Athletic Club,Ath Madrid,,,A,,,,,,,,,,,,,3.0,3.25,2.38,2010.0,0,3,,0.5,0.5,0.3333333333333333,0.42016806722689076,0.0,3.0,0.0,0.0,14.0,0.5,0.5,1.0,10.0,0.0,3.0,0.0,0.0,12.0,0.5,0.5,1.0,10.0,1.5,1.5,75,66,70,70,112.0,75,75,75,75,210.8,0,-9,-5,-5,-0.6282546144549652,1500.0,1500.0,1.0,1.0,1.0,1.0
,2010-09-12,Getafe CF,Levante UD,,,H,,,,,,,,,,,,,1.57,3.8,6.0,2010.0,3,0,,0.5,0.5,0.6369426751592356,0.16666666666666666,0.0,0.0,0.0,0.0,14.0,0.5,0.5,1.0,10.0,0.0,0.0,0.0,0.0,15.0,0.5,0.5,1.0,10.0,1.5,1.5,75,72,72,75,66.4,75,75,75,75,37.4,0,-3,-3,0,0.5625875583245801,1500.0,1500.0,1.0,1.0,1.0,1.0
,2010-09-12,Sevilla FC,La Coruna,,,D,,,,,,,,,,,,,1.5,4.0,7.0,2010.0,1,1,,0.5,0.5,0.6666666666666666,0.14285714285714285,0.0,3.0,0.0,0.0,15.0,0.5,0.5,1.0,10.0,0.0,1.0,0.0,0.0,14.0,0.5,0.5,1.0,10.0,1.5,1.5,79,71,78,71,175.6,76,69,71,69,63.7,3,2,7,2,1.0041260866630042,1500.0,1500.0,1.0,1.0,1.0,1.0
,2010-09-12,Sporting Gijon,RCD Mallorca,,,H,,,,,,,,,,,,,2.4,3.3,2.9,2010.0,3,0,,0.5,0.5,0.4166666666666667,0.3448275862068966,0.0,0.0,0.0,0.0,13.0,0.5,0.5,1.0,10.0,0.0,1.0,0.0,0.0,14.0,0.5,0.5,1.0,10.0,1.5,1.5,75,75,75,75,55.2,75,75,71,74,65.1,0,0,4,1,-0.16225198995799506,1500.0,1500.0,1.0,1.0,1.0,1.0
,2010-09-12,Villarreal CF,RCD Espanyol,,,H,,,,,,,,,,,,,1.8,3.5,4.5,2010.0,3,0,,0.5,0.5,0.5555555555555556,0.2222222222222222,0.0,0.0,0.0,0.0,14.0,0.5,0.5,1.0,10.0,0.0,3.0,0.0,0.0,14.0,0.5,0.5,1.0,10.0,1.5,1.5,78,78,75,74,170.6,75,73,67,67,78.4,3,5,8,7,0.7706678188007716,1500.0,1500.0,1.0,1.0,1.0,1.0
,2010-09-12,Zaragoza,Malaga,,,A,,,,,,,,,,,,,1.91,3.4,4.0,2010.0,0,3,,0.5,0.5,0.5235602094240838,0.25,0.0,1.0,0.0,0.0,14.0,0.5,0.5,1.0,10.0,0.0,0.0,0.0,0.0,15.0,0.5,0.5,1.0,10.0,1.5,1.5,75,75,75,75,87.25,75,75,75,75,58.6,0,0,0,0,0.39251812174210166,1500.0,1500.0,1.0,1.0,1.0,1.0
,2010-09-13,UD Almeria,Real Sociedad,,,D,,,,,,,,,,,,,2.2,3.25,3.3,2010.0,1,1,,0.5,0.5,0.45454545454545453,0.30303030303030304,0.0,1.0,0.0,0.0,15.0,0.5,0.5,1.0,10.0,0.0,3.0,0.0,0.0,15.0,0.5,0.5,1.0,10.0,1.5,1.5,75,75,75,75,63.7,75,75,75,75,66.7,0,0,0,0,-0.04532497841137406,1500.0,1500.0,1.0,1.0,1.0,1.0
,2010-09-18,Real Sociedad,Real Madrid,,,A,,,,,,,,,,,,,8.5,4.6,1.36,2010.0,0,3,,0.5,0.5,0.11764705882352941,0.7352941176470588,0.0,4.0,0.0,0.0,5.0,0.5,0.5,1.0,10.0,0.0,4.0,0.0,0.0,7.0,0.5,0.5,1.0,10.0,1.5,1.5,75,75,75,75,66.7,83,71,80,72,519.0,-8,4,-5,3,-2.038742631657244,1500.0,1500.0,1.0,1.0,1.0,1.0
,2010-09-18,Sporting Gijon,Athletic Club,,,D,,,,,,,,,,,,,2.4,3.25,2.9,2010.0,1,1,,0.5,0.5,0.4166666666666667,0.3448275862068966,0.0,3.0,0.0,0.0,6.0,0.5,0.5,1.0,10.0,0.0,3.0,0.0,0.0,7.0,0.5,0.5,1.0,10.0,1.5,1.5,75,75,75,75,55.2,75,66,70,70,112.0,0,9,5,5,-0.698471061812695,1500.0,1500.0,1.0,1.0,1.0,1.0
,2010-09-18,RCD Mallorca,CA Osasuna,,,H,,,,,,,,,,,,,1.91,3.4,4.0,2010.0,3,0,,0.5,0.5,0.5235602094240838,0.25,0.0,1.0,0.0,0.0,6.0,0.5,0.5,1.0,10.0,0.0,1.0,0.0,0.0,7.0,0.5,0.5,1.0,10.0,1.5,1.5,75,75,71,74,65.1,75,75,75,75,60.0,0,0,-4,-1,0.0802948826843295,1500.0,1500.0,1.0,1.0,1.0,1.0
,2010-09-18,RCD Espanyol,UD Almeria,,,H,,,,,,,,,,,,,2.0,3.3,3.75,2010.0,3,0,,0.5,0.5,0.5,0.26666666666666666,0.0,3.0,0.0,0.0,6.0,0.5,0.5,1.0,10.0,0.0,2.0,0.0,0.0,5.0,0.5,0.5,1.0,10.0,1.5,1.5,75,73,67,67,78.4,75,75,75,75,63.7,0,-2,-8,-8,0.2047371667462352,1500.0,1500.0,1.0,1.0,1.0,1.0
,2010-09-19,Ath Madrid,FC Barcelona,,,A,,,,,,,,,,,,,5.0,3.75,1.67,2010.0,0,3,,0.5,0.5,0.2,0.5988023952095809,0.0,6.0,0.0,0.0,8.0,0.5,0.5,1.0,10.0,0.0,3.0,0.0,0.0,8.0,0.5,0.5,1.0,10.0,1.5,1.5,75,75,75,75,210.8,84,73,77,74,604.7,-9,2,-2,1,-1.050742380819596,1500.0,1500.0,1.0,1.0,1.0,1.0
,2010-09-19,Hercules,Valencia CF,,,A,,,,,,,,,,,,,3.5,3.2,2.15,2010.0,0,3,,0.5,0.5,0.2857142857142857,0.46511627906976744,0.0,3.0,0.0,0.0,8.0,0.5,0.5,1.0,10.0,0.0,6.0,0.0,0.0,8.0,0.5,0.5,1.0,10.0,1.5,1.5,75,75,75,75,51.7,80,73,76,75,176.6,-5,2,-1,0,-1.214918375010753,1500.0,1500.0,1.0,1.0,1.0,1.0
,2010-09-19,Levante UD,Villarreal CF,,,A,,,,,,,,,,,,,3.75,3.3,2.0,2010.0,0,3,,0.5,0.5,0.26666666666666666,0.5,0.0,0.0,0.0,0.0,7.0,0.5,0.5,1.0,10.0,0.0,3.0,0.0,0.0,7.0,0.5,0.5,1.0,10.0,1.5,1.5,75,75,75,75,37.4,78,78,75,74,170.6,-3,-3,0,1,-1.4971087274601809,1500.0,1500.0,1.0,1.0,1.0,1.0
,2010-09-19,Malaga,Sevilla FC,,,A,,,,,,,,,,,,,3.25,3.25,2.2,2010.0,0,3,,0.5,0.5,0.3076923076923077,0.45454545454545453,0.0,3.0,0.0,0.0,7.0,0.5,0.5,1.0,10.0,0.0,4.0,0.0,0.0,7.0,0.5,0.5,1.0,10.0,1.5,1.5,75,75,75,75,58.6,79,71,78,71,175.6,-4,4,-3,4,-1.0862317140985551,1500.0,1500.0,1.0,1.0,1.0,1.0
,2010-09-19,Santander,Zaragoza,,,H,,,,,,,,,,,,,2.25,3.2,3.25,2010.0,3,0,,0.5,0.5,0.4444444444444444,0.3076923076923077,0.0,0.0,0.0,0.0,8.0,0.5,0.5,1.0,10.0,0.0,1.0,0.0,0.0,7.0,0.5,0.5,1.0,10.0,1.5,1.5,75,73,70,67,65.5,75,75,75,75,87.25,0,-2,-5,-8,-0.2829717481515974,1500.0,1500.0,1.0,1.0,1.0,1.0
,2010-09-20,La Coruna,Getafe CF,,,D,,,,,,,,,,,,,2.25,3.2,3.25,2010.0,1,1,,0.5,0.5,0.4444444444444444,0.3076923076923077,0.0,2.0,0.0,0.0,8.0,0.5,0.5,1.0,10.0,0.0,3.0,0.0,0.0,8.0,0.5,0.5,1.0,10.0,1.5,1.5,76,69,71,69,63.7,75,72,72,75,66.4,1,-3,-1,-6,-0.04088381641140604,1500.0,1500.0,1.0,1.0,1.0,1.0
,2010-09-21,CA Osasuna,Real Sociedad,,,H,,,,,,,,,,,,,2.1,3.25,3.6,2010.0,3,0,,0.5,0.5,0.47619047619047616,0.2777777777777778,0.0,1.0,0.0,0.0,3.0,0.5,0.5,1.0,10.0,0.0,4.0,0.0,0.0,3.0,0.5,0.5,1.0,10.0,1.5,1.5,75,75,75,75,60.0,75,75,75,75,66.7,0,0,0,0,-0.10421231574491774,1500.0,1500.0,1.0,1.0,1.0,1.0
,2010-09-21,Real Madrid,RCD Espanyol,,,H,,,,,,,,,,,,,1.17,7.0,15.0,2010.0,3,0,,0.5,0.5,0.8547008547008548,0.06666666666666667,0.0,7.0,0.0,0.0,3.0,0.5,0.5,1.0,10.0,0.0,6.0,0.0,0.0,3.0,0.5,0.5,1.0,10.0,1.5,1.5,83,71,80,72,519.0,75,73,67,67,78.4,8,-2,13,5,1.8793304433223827,1500.0,1500.0,1.0,1.0,1.0,1.0
