Kelly_frac,flat_roi,kelly_roi,n_bets,pos_seasons,total_seasons,max_dd
0.05,0.02485772357723577,0.012530239063999757,492,7,13,-0.1611752012615155
0.1,0.02485772357723577,0.015010157434586566,492,7,13,-0.1611752012615155
0.15,0.02485772357723577,0.01755433438126515,492,7,13,-0.1611752012615155
0.2,0.02485772357723577,0.019708303618165147,492,7,13,-0.1611752012615155
0.25,0.02485772357723577,0.026990822036689326,492,7,13,-0.1611752012615155
0.33,0.02485772357723577,0.028287095071541646,492,7,13,-0.1611752012615155
0.5,0.02485772357723577,0.02394514091553647,492,7,13,-0.1611752012615155
