Window,W_val,flat_roi,kelly_roi,n_bets,pos_seasons,total_seasons,max_dd
expanding,99,-0.01547967479674797,0.013565614008385128,615,6,13,-0.30616648684538134
sliding 3,3,-0.023012295081967216,0.0009620303761172576,488,5,13,-0.2752925553987883
sliding 4,4,-0.015652173913043476,-0.001048500896042858,506,6,13,-0.2757905220350236
sliding 5,5,0.02485772357723577,0.026990822036689326,492,7,13,-0.1611752012615155
sliding 6,6,-0.0010848126232741533,0.012905388685382364,507,4,13,-0.29189144327330063
sliding 7,7,-0.00015325670498083965,0.01960359250106206,522,5,13,-0.29720308739314455
sliding 9,9,0.015402930402930396,0.03113602248771873,546,8,13,-0.22740476388081995
