Season,Date,HomeTeam,AwayTeam,Bet_Type,Odds,P_Model,EV,Won,Flat_Stake,Flat_Profit,Kelly_Stake,Kelly_Profit,Flat_BK,Kelly_BK
2012,2012-08-18,Mallorca,Espanol,1,2.0,0.5731254855226081,0.14625097104521623,True,10.0,10.0,36.56274276130406,36.56274276130406,1010.0,1036.562742761304
2012,2012-08-20,Vallecano,Granada,1,2.2,0.5512315550527297,0.21270942111600544,True,10.0,12.000000000000002,44.31446273250113,53.17735527900136,1022.0,1089.7400980403054
2012,2012-08-20,Zaragoza,Valladolid,1,2.15,0.4904089172684129,0.05437917212708765,False,10.0,-10.0,11.821559158062534,-11.821559158062534,1012.0,1077.918538882243
2012,2012-08-27,Valladolid,Levante,1,2.05,0.5518775368836734,0.13134895061153018,True,10.0,10.499999999999998,31.273559669411956,32.83723765288255,1022.5,1110.7557765351255
2012,2012-09-01,Mallorca,Sociedad,1,2.1,0.5333335139650871,0.12000037932668306,True,10.0,11.0,27.272813483337057,30.000094831670765,1033.5,1140.755871366796
2012,2012-09-02,Ath Bilbao,Valladolid,1,2.0,0.5341207850042107,0.06824157000842135,True,10.0,10.0,17.060392502105337,17.060392502105337,1043.5,1157.8162638689016
2012,2012-09-02,Levante,Espanol,1,2.2,0.5546137341934846,0.22015021522566625,True,10.0,12.000000000000002,45.864628172013795,55.03755380641656,1055.5,1212.8538176753182
2012,2012-09-16,Espanol,Ath Bilbao,1,2.2,0.4917848521192729,0.08192667466240056,False,10.0,-10.0,17.068057221333447,-17.068057221333447,1045.5,1195.7857604539847
2012,2012-09-16,Osasuna,Mallorca,1,2.2,0.5578937321350418,0.22736621069709195,False,10.0,-10.0,47.36796056189415,-47.36796056189415,1035.5,1148.4177998920904
2012,2012-09-17,Valladolid,Betis,1,2.1,0.51596493214603,0.08352635750666315,False,10.0,-10.0,18.983263069696168,-18.983263069696168,1025.5,1129.4345368223944
2012,2012-09-22,Zaragoza,Osasuna,1,2.25,0.5088613759580667,0.1449380959056501,True,10.0,12.5,28.98761918113002,36.234523976412525,1038.0,1165.6690607988069
2012,2012-09-23,Ath Bilbao,Malaga,1,2.2,0.5182584457708447,0.14016858069585836,False,10.0,-10.0,29.201787644970487,-29.201787644970487,1028.0,1136.4672731538365
2012,2012-09-29,Sociedad,Ath Bilbao,1,2.3,0.5553694821259092,0.27734980888959115,True,10.0,12.999999999999998,50.0,64.99999999999999,1041.0,1201.4672731538362
2012,2012-09-30,Granada,Celta,1,2.3,0.4880140899086692,0.12243240678993894,True,10.0,12.999999999999998,23.544693613449798,30.608101697484734,1054.0,1232.0753748513212
2012,2012-10-01,Getafe,Mallorca,1,2.1,0.5987940655008744,0.25746753755183627,True,10.0,11.0,50.0,55.00000000000001,1065.0,1287.0753748513212
2012,2012-10-06,Vallecano,La Coruna,1,2.3,0.459279594526735,0.05634306741149042,True,10.0,12.999999999999998,10.835205271440469,14.085766852872608,1078.0,1301.1611417041936
2012,2012-10-28,Levante,Granada,1,2.0,0.5488858358145389,0.09777167162907774,True,10.0,10.0,24.442917907269436,24.442917907269436,1088.0,1325.604059611463
2012,2012-11-03,Valencia,Ath Madrid,1,2.4,0.49729794872022204,0.19351507692853276,True,10.0,14.0,34.556263737238,48.378769232133195,1102.0,1373.9828288435963
2012,2012-11-10,Vallecano,Celta,1,2.38,0.49562328993490784,0.1795834300450807,True,10.0,13.799999999999999,32.53323008063057,44.89585751127018,1115.8,1418.8786863548667
2012,2012-11-11,Ath Bilbao,Sevilla,1,2.38,0.5105390845506823,0.21508302123062384,True,10.0,13.799999999999999,38.96431544033041,53.77075530765596,1129.6,1472.6494416625226
2012,2012-11-24,Vallecano,Mallorca,1,2.1,0.5873096570233808,0.2333502797490996,True,10.0,11.0,50.0,55.00000000000001,1140.6,1527.6494416625226
2012,2012-11-24,Malaga,Valencia,1,2.1,0.5099874929279069,0.07097373514860461,True,10.0,11.0,16.13039435195559,17.74343378715115,1151.6,1545.3928754496737
2012,2012-12-02,La Coruna,Betis,1,2.1,0.522107558295668,0.09642587242090284,False,10.0,-10.0,21.914971004750644,-21.914971004750644,1141.6,1523.477904444923
2012,2012-12-10,Vallecano,Zaragoza,1,2.25,0.50202859234711,0.12956433278099744,False,10.0,-10.0,25.91286655619949,-25.91286655619949,1131.6,1497.5650378887235
2012,2012-12-15,Sevilla,Malaga,1,2.1,0.5043939185174482,0.05922722888664134,False,10.0,-10.0,13.46073383787303,-13.46073383787303,1121.6,1484.1043040508505
2012,2012-12-15,Mallorca,Ath Bilbao,1,2.4,0.4837202354276289,0.16092856502630926,False,10.0,-10.0,28.737243754698085,-28.737243754698085,1111.6,1455.3670602961524
2012,2012-12-15,Granada,Sociedad,1,2.4,0.524741633362903,0.2593799200709672,False,10.0,-10.0,46.31784286981558,-46.31784286981558,1101.6,1409.0492174263368
2012,2012-12-17,La Coruna,Valladolid,1,2.2,0.5327457809678173,0.1720407181291983,False,10.0,-10.0,35.841816276916305,-35.841816276916305,1091.6,1373.2074011494205
2012,2012-12-20,Vallecano,Levante,1,2.25,0.5402733860370108,0.21561511858327442,True,10.0,12.5,43.123023716654885,53.9037796458186,1104.1,1427.111180795239
2012,2012-12-20,Sociedad,Sevilla,1,2.38,0.47879383028975964,0.13952931608962782,True,10.0,13.799999999999999,25.277050016236927,34.88232902240696,1117.9,1461.993509817646
2012,2013-01-04,Zaragoza,Betis,1,2.2,0.4818399498376768,0.060047889642889096,False,10.0,-10.0,12.509977008935227,-12.509977008935227,1107.9,1449.4835328087108
2012,2013-01-07,Vallecano,Getafe,1,2.2,0.5038287025655924,0.10842314564430344,True,10.0,12.000000000000002,22.588155342563212,27.105786411075858,1119.9,1476.5893192197868
2012,2013-01-12,Espanol,Celta,1,2.25,0.47364553032760415,0.06570244323710939,True,10.0,12.5,13.140488647421877,16.425610809277348,1132.4,1493.014930029064
2012,2013-01-12,Valencia,Sevilla,1,2.1,0.5481895887393331,0.1511981363525996,True,10.0,11.0,34.363212807409,37.799534088149905,1143.4,1530.814464117214
2012,2013-01-12,Valladolid,Mallorca,1,2.0,0.5327457809678173,0.06549156193563466,True,10.0,10.0,16.372890483908662,16.372890483908662,1153.4,1547.1873546011227
2012,2013-01-18,Espanol,Mallorca,1,2.0,0.5574032674733639,0.11480653494672777,True,10.0,10.0,28.70163373668194,28.70163373668194,1163.4,1575.8889883378047
2012,2013-01-19,Granada,Vallecano,1,2.15,0.5477423669215318,0.17764608888129318,True,10.0,11.5,38.61871497419418,44.4115222203233,1174.9,1620.3005105581278
2012,2013-01-20,Valencia,Real Madrid,2,1.75,0.8174174205093507,0.4304804858913638,True,10.0,7.5,50.0,37.5,1182.4,1657.8005105581278
2012,2013-01-20,Valladolid,Zaragoza,1,2.0,0.5475661108076336,0.09513222161526724,True,10.0,10.0,23.78305540381681,23.78305540381681,1192.4,1681.5835659619447
2012,2013-01-26,Levante,Valladolid,1,2.0,0.5789657459445049,0.1579314918890098,True,10.0,10.0,39.482872972252444,39.482872972252444,1202.4,1721.0664389341973
2012,2013-01-26,Celta,Sociedad,1,2.2,0.5388870687292149,0.1855515512042729,False,10.0,-10.0,38.65657316755685,-38.65657316755685,1192.4,1682.4098657666405
2012,2013-01-27,Vallecano,Betis,1,2.25,0.5299107330092574,0.19229914927082925,True,10.0,12.5,38.45982985416585,48.074787317707305,1204.9,1730.4846530843477
2012,2013-02-02,Espanol,Levante,1,2.1,0.5865928611488823,0.23184500841265288,True,10.0,11.0,50.0,55.00000000000001,1215.9,1785.4846530843477
2012,2013-02-02,Osasuna,Celta,1,2.0,0.5275865921880275,0.05517318437605501,True,10.0,10.0,13.793296094013751,13.793296094013751,1225.9,1799.2779491783613
2012,2013-02-10,Zaragoza,Sociedad,1,2.4,0.45371607238155337,0.08891857371572809,False,10.0,-10.0,15.878316734951447,-15.878316734951447,1215.9,1783.39963244341
2012,2013-02-17,Espanol,Betis,1,2.0,0.5327457809678173,0.06549156193563466,True,10.0,10.0,16.372890483908662,16.372890483908662,1225.9,1799.7725229273187
2012,2013-02-22,Ath Bilbao,Sociedad,1,2.25,0.5608622678334556,0.261940102625275,False,10.0,-10.0,50.0,-50.0,1215.9,1749.7725229273187
2012,2013-02-23,Mallorca,Getafe,1,2.2,0.5238545594220017,0.15248003072840377,False,10.0,-10.0,31.766673068417447,-31.766673068417447,1205.9,1718.0058498589012
2012,2013-03-02,La Coruna,Vallecano,1,2.3,0.5312923805328494,0.22197247522555363,False,10.0,-10.0,42.68701446645263,-42.68701446645263,1195.9,1675.3188353924486
2012,2013-03-02,Osasuna,Ath Bilbao,1,2.3,0.4896907008811768,0.1262886120267066,False,10.0,-10.0,24.286271543597426,-24.286271543597426,1185.9,1651.0325638488512
