EV_min,flat_roi,kelly_roi,n_bets,pos_seasons,total_seasons,max_dd
0.02,-0.03562009419152277,0.011178023829777867,637,5,13,-0.38419179939003734
0.03,-0.01695352839931153,0.015407936430118282,581,7,13,-0.29000751314800904
0.04,0.007523629489603024,0.023983432719330438,529,7,13,-0.20637710268641726
0.05,0.02485772357723577,0.026990822036689326,492,7,13,-0.1611752012615155
0.06,0.01982417582417582,0.024371234381259134,455,7,13,-0.17832314264176236
0.07,0.017476415094339618,0.022096446215060073,424,6,13,-0.16401752727897592
0.08,0.021979695431472077,0.01938108528907393,394,6,13,-0.18440292445166523
0.1,0.017129909365558905,0.019632622476106767,331,5,13,-0.1578815888083937
