Season,BetType,Odds,P_Model,Won,Flat_P,Kelly_P,Kelly_S,Flat_S,League
2019,1,5.25,0.25732176107877475,1,42.5,87.73481141589184,20.643485039033376,10.0,LaLiga
2019,1,4.75,0.3428931658087439,0,-10.0,-41.9161691727689,41.9161691727689,10.0,LaLiga
2019,2,3.6,0.3961462480283597,0,-10.0,-40.973701240586045,40.973701240586045,10.0,LaLiga
2019,1,3.2,0.4801639498464727,0,-10.0,-50.0,50.0,10.0,LaLiga
2019,1,3.1,0.35557264052276033,1,21.0,25.56879640513926,12.175617335780599,10.0,LaLiga
2019,X,6.5,0.1990293368949453,1,55.0,73.42267245428613,13.349576809870205,10.0,LaLiga
2019,2,3.0,0.41135353849240336,0,-10.0,-29.257576934651254,29.257576934651254,10.0,LaLiga
2019,1,4.75,0.25445607174844204,0,-10.0,-13.911089387006648,13.911089387006648,10.0,LaLiga
2019,2,3.75,0.3255186126582514,0,-10.0,-20.06316340622207,20.06316340622207,10.0,LaLiga
2019,1,1.4,0.7698853954104073,1,3.999999999999999,19.459888393642544,48.649720984106374,10.0,LaLiga
2019,1,3.6,0.34916166160725615,0,-10.0,-24.709805940973276,24.709805940973276,10.0,LaLiga
2019,1,2.05,0.5999884555921885,0,-10.0,-50.0,50.0,10.0,LaLiga
2019,X,4.75,0.2642725027239123,0,-10.0,-17.019625862572227,17.019625862572227,10.0,LaLiga
2019,1,3.4,0.4434806476170494,0,-10.0,-50.0,50.0,10.0,LaLiga
2019,X,6.5,0.23135441596761452,0,-10.0,-22.90016835406793,22.90016835406793,10.0,LaLiga
2019,2,3.2,0.361972048958384,1,22.0,39.57763916670721,17.98983598486691,10.0,LaLiga
2019,1,3.8,0.4312850044363725,1,28.0,140.0,50.0,10.0,LaLiga
2019,X,4.75,0.26522809945284403,0,-10.0,-17.32223149340061,17.32223149340061,10.0,LaLiga
2019,2,3.6,0.3558051549368216,0,-10.0,-27.009476708899786,27.009476708899786,10.0,LaLiga
2019,1,4.2,0.46310324863847785,0,-10.0,-50.0,50.0,10.0,LaLiga
2019,2,3.25,0.344869583073569,0,-10.0,-13.425127221011032,13.425127221011032,10.0,LaLiga
2019,1,3.0,0.3593848547047802,0,-10.0,-9.769320514292579,9.769320514292579,10.0,LaLiga
2019,X,5.75,0.18453468753632674,0,-10.0,-3.2144449123094065,3.2144449123094065,10.0,LaLiga
2019,2,3.8,0.32306421381116657,0,-10.0,-20.325358257360076,20.325358257360076,10.0,LaLiga
2019,1,2.25,0.48379773661690867,0,-10.0,-17.708981477608887,17.708981477608887,10.0,LaLiga
2019,X,7.0,0.21639445227048157,0,-10.0,-21.448381912223795,21.448381912223795,10.0,LaLiga
2019,1,3.5,0.3528883777148309,1,25.0,58.777330500477014,23.510932200190805,10.0,LaLiga
2019,X,4.0,0.27489886462960067,0,-10.0,-8.299621543200223,8.299621543200223,10.0,LaLiga
2019,1,4.33,0.31820837567419075,0,-10.0,-28.366536536730184,28.366536536730184,10.0,LaLiga
2019,2,3.5,0.34755161965404935,1,25.0,54.1076671972932,21.64306687891728,10.0,LaLiga
2019,1,2.2,0.5092194850952928,1,12.000000000000002,30.070716802411077,25.058930668675895,10.0,LaLiga
2019,2,3.7,0.2956578041564772,0,-10.0,-8.697581053607923,8.697581053607923,10.0,LaLiga
2019,1,3.0,0.4141646382968663,1,20.0,60.62347872264973,30.311739361324864,10.0,LaLiga
2019,X,5.75,0.23020743029080445,0,-10.0,-17.036459166953982,17.036459166953982,10.0,LaLiga
2019,2,3.8,0.3766854323921376,1,28.0,107.8511607725307,38.518271704475254,10.0,LaLiga
2019,1,2.45,0.4306185788654715,1,14.500000000000002,13.753879555101323,9.485434175931946,10.0,LaLiga
2019,1,6.5,0.2380316283874961,1,55.0,136.80139612968117,24.872981114487487,10.0,LaLiga
2019,X,5.5,0.2740443261360945,0,-10.0,-28.18021076380665,28.18021076380665,10.0,LaLiga
2019,X,4.2,0.25147969228302,0,-10.0,-4.3917740303659265,4.3917740303659265,10.0,LaLiga
2019,1,2.4,0.4641245138809868,1,14.0,28.474708328592058,20.339077377565758,10.0,LaLiga
2019,2,3.0,0.4106165303681734,0,-10.0,-28.981198888065023,28.981198888065023,10.0,LaLiga
2019,2,3.5,0.3451191001808576,1,25.0,51.97921265825039,20.791685063300157,10.0,LaLiga
2019,X,9.5,0.2355033849625273,0,-10.0,-36.390651680706156,36.390651680706156,10.0,LaLiga
2019,1,6.0,0.25380668139513923,0,-10.0,-26.142004418541774,26.142004418541774,10.0,LaLiga
2019,2,3.75,0.3373539046438121,0,-10.0,-24.097922037663203,24.097922037663203,10.0,LaLiga
2019,X,4.5,0.23554060214118452,0,-10.0,-4.280907831095027,4.280907831095027,10.0,LaLiga
2019,2,3.3,0.3717524486985448,0,-10.0,-24.650334859260635,24.650334859260635,10.0,LaLiga
2019,1,9.0,0.19774541332040116,1,80.0,194.92717997090259,24.365897496362823,10.0,LaLiga
2019,X,5.75,0.22938044737807228,0,-10.0,-16.786188022311347,16.786188022311347,10.0,LaLiga
2019,2,3.4,0.34755066784134164,0,-10.0,-18.924194860475165,18.924194860475165,10.0,LaLiga
2019,1,5.25,0.24226081678552278,0,-10.0,-15.99231106611733,15.99231106611733,10.0,LaLiga
2019,X,4.33,0.2603587419994362,0,-10.0,-9.56106252684375,9.56106252684375,10.0,LaLiga
2019,1,3.6,0.41389487442324296,0,-10.0,-47.11745653112256,47.11745653112256,10.0,LaLiga
2019,1,3.6,0.3284972524441566,1,26.0,45.64752719974096,17.5567412306696,10.0,LaLiga
2019,X,5.5,0.23050339848146806,0,-10.0,-14.876038424893022,14.876038424893022,10.0,LaLiga
2019,1,7.0,0.261319405216973,0,-10.0,-34.55149318828379,34.55149318828379,10.0,LaLiga
2019,1,4.0,0.400396097717964,0,-10.0,-50.0,50.0,10.0,LaLiga
2019,1,6.5,0.2919036808688465,0,-10.0,-40.78972389306828,40.78972389306828,10.0,LaLiga
2019,X,4.33,0.28833839907964603,0,-10.0,-18.656551652767824,18.656551652767824,10.0,LaLiga
2019,1,2.4,0.5412452819576464,1,14.0,70.0,50.0,10.0,LaLiga
